"gene","experiment"
"AARS","L500_1"
"ABCB6","L500_1"
"ABCC5","L500_1"
"ABCF1","L500_1"
"ABCF3","L500_1"
"ABHD4","L500_1"
"ABHD6","L500_1"
"ABL1","L500_1"
"ACAA1","L500_1"
"ACAT2","L500_1"
"ACBD3","L500_1"
"ACD","L500_1"
"ACLY","L500_1"
"ACOT9","L500_1"
"ADAM10","L500_1"
"ADAT1","L500_1"
"ADGRE5","L500_1"
"ADGRG1","L500_1"
"ADH5","L500_1"
"ADI1","L500_1"
"ADO","L500_1"
"ADRB2","L500_1"
"AGL","L500_1"
"AKAP8","L500_1"
"AKAP8L","L500_1"
"AKR7A2","L500_1"
"AKT1","L500_1"
"ALAS1","L500_1"
"ALDH7A1","L500_1"
"ALDOA","L500_1"
"ALDOC","L500_1"
"AMDHD2","L500_1"
"ANKRD10","L500_1"
"ANO10","L500_1"
"ANXA7","L500_1"
"APBB2","L500_1"
"APOE","L500_1"
"APP","L500_1"
"APPBP2","L500_1"
"ARFIP2","L500_1"
"ARHGAP1","L500_1"
"ARHGEF12","L500_1"
"ARHGEF2","L500_1"
"ARID4B","L500_1"
"ARID5B","L500_1"
"ARL4C","L500_1"
"ARNT2","L500_1"
"ARPP19","L500_1"
"ASAH1","L500_1"
"ASCC3","L500_1"
"ATF1","L500_1"
"ATF5","L500_1"
"ATF6","L500_1"
"ATG3","L500_1"
"ATMIN","L500_1"
"ATP11B","L500_1"
"ATP1B1","L500_1"
"ATP2C1","L500_1"
"ATP6V0B","L500_1"
"ATP6V1D","L500_1"
"AURKA","L500_1"
"AURKB","L500_1"
"AXIN1","L500_1"
"B4GAT1","L500_1"
"BACE2","L500_1"
"BAD","L500_1"
"BAG3","L500_1"
"BAMBI","L500_1"
"BAX","L500_1"
"BCL2","L500_1"
"BCL7B","L500_1"
"BDH1","L500_1"
"BECN1","L500_1"
"BHLHE40","L500_1"
"BID","L500_1"
"BIRC2","L500_1"
"BIRC5","L500_1"
"BLCAP","L500_1"
"BLMH","L500_1"
"BLVRA","L500_1"
"BMP4","L500_1"
"BNIP3","L500_1"
"BNIP3L","L500_1"
"BPHL","L500_1"
"BRCA1","L500_1"
"BTK","L500_1"
"BUB1B","L500_1"
"BZW2","L500_1"
"C2CD2","L500_1"
"C2CD2L","L500_1"
"C2CD5","L500_1"
"C5","L500_1"
"CAB39","L500_1"
"CALM3","L500_1"
"CALU","L500_1"
"CAMSAP2","L500_1"
"CANT1","L500_1"
"CAPN1","L500_1"
"CARMIL1","L500_1"
"CASC3","L500_1"
"CASK","L500_1"
"CASP10","L500_1"
"CASP2","L500_1"
"CASP3","L500_1"
"CASP7","L500_1"
"CAST","L500_1"
"CAT","L500_1"
"CBLB","L500_1"
"CBR1","L500_1"
"CBR3","L500_1"
"CCDC85B","L500_1"
"CCDC86","L500_1"
"CCDC92","L500_1"
"CCL2","L500_1"
"CCNA1","L500_1"
"CCNA2","L500_1"
"CCNB1","L500_1"
"CCNB2","L500_1"
"CCND1","L500_1"
"CCND3","L500_1"
"CCNE2","L500_1"
"CCNF","L500_1"
"CCNH","L500_1"
"CCP110","L500_1"
"CD320","L500_1"
"CD40","L500_1"
"CD44","L500_1"
"CD58","L500_1"
"CDC20","L500_1"
"CDC25A","L500_1"
"CDC25B","L500_1"
"CDC42","L500_1"
"CDC45","L500_1"
"CDCA4","L500_1"
"CDH3","L500_1"
"CDK1","L500_1"
"CDK19","L500_1"
"CDK2","L500_1"
"CDK4","L500_1"
"CDK5R1","L500_1"
"CDK6","L500_1"
"CDK7","L500_1"
"CDKN1A","L500_1"
"CDKN1B","L500_1"
"CDKN2A","L500_1"
"CEBPA","L500_1"
"CEBPD","L500_1"
"CEBPZ","L500_1"
"CENPE","L500_1"
"CEP57","L500_1"
"CERK","L500_1"
"CETN3","L500_1"
"CFLAR","L500_1"
"CGRRF1","L500_1"
"CHAC1","L500_1"
"CHEK1","L500_1"
"CHEK2","L500_1"
"CHERP","L500_1"
"CHIC2","L500_1"
"CHMP4A","L500_1"
"CHMP6","L500_1"
"CHN1","L500_1"
"CHP1","L500_1"
"CIAO3","L500_1"
"CIAPIN1","L500_1"
"CIRBP","L500_1"
"CISD1","L500_1"
"CLIC4","L500_1"
"CLPX","L500_1"
"CLSTN1","L500_1"
"CLTB","L500_1"
"CLTC","L500_1"
"CNDP2","L500_1"
"CNOT4","L500_1"
"CNPY3","L500_1"
"COASY","L500_1"
"COG2","L500_1"
"COG4","L500_1"
"COG7","L500_1"
"COL1A1","L500_1"
"COL4A1","L500_1"
"COPB2","L500_1"
"COPS7A","L500_1"
"COQ8A","L500_1"
"CORO1A","L500_1"
"CPNE3","L500_1"
"CPSF4","L500_1"
"CREB1","L500_1"
"CREG1","L500_1"
"CRELD2","L500_1"
"CRK","L500_1"
"CRKL","L500_1"
"CRTAP","L500_1"
"CRYZ","L500_1"
"CSK","L500_1"
"CSNK1A1","L500_1"
"CSNK1E","L500_1"
"CSNK2A2","L500_1"
"CSRP1","L500_1"
"CTNNAL1","L500_1"
"CTNND1","L500_1"
"CTSD","L500_1"
"CTSL","L500_1"
"CTTN","L500_1"
"CXCL2","L500_1"
"CXCR4","L500_1"
"CYB561","L500_1"
"CYCS","L500_1"
"CYTH1","L500_1"
"DAG1","L500_1"
"DAXX","L500_1"
"DCK","L500_1"
"DCTD","L500_1"
"DCUN1D4","L500_1"
"DDB2","L500_1"
"DDIT4","L500_1"
"DDR1","L500_1"
"DDX10","L500_1"
"DDX42","L500_1"
"DECR1","L500_1"
"DENND2D","L500_1"
"DERA","L500_1"
"DFFA","L500_1"
"DFFB","L500_1"
"DHDDS","L500_1"
"DHRS7","L500_1"
"DHX29","L500_1"
"DLD","L500_1"
"DMAC2L","L500_1"
"DMTF1","L500_1"
"DNAJA3","L500_1"
"DNAJB1","L500_1"
"DNAJB2","L500_1"
"DNAJB6","L500_1"
"DNAJC15","L500_1"
"DNM1","L500_1"
"DNM1L","L500_1"
"DNMT1","L500_1"
"DNMT3A","L500_1"
"DNTTIP2","L500_1"
"DPH2","L500_1"
"DRAP1","L500_1"
"DSG2","L500_1"
"DUSP11","L500_1"
"DUSP14","L500_1"
"DUSP22","L500_1"
"DUSP3","L500_1"
"DUSP4","L500_1"
"DUSP6","L500_1"
"DYNLT3","L500_1"
"DYRK3","L500_1"
"E2F2","L500_1"
"EAPP","L500_1"
"EBNA1BP2","L500_1"
"EBP","L500_1"
"ECD","L500_1"
"ECH1","L500_1"
"EDEM1","L500_1"
"EDN1","L500_1"
"EED","L500_1"
"EFCAB14","L500_1"
"EGF","L500_1"
"EGFR","L500_1"
"EGR1","L500_1"
"EIF4EBP1","L500_1"
"EIF4G1","L500_1"
"EIF5","L500_1"
"ELAC2","L500_1"
"ELAVL1","L500_1"
"ELOVL6","L500_1"
"ELP1","L500_1"
"EML3","L500_1"
"ENOPH1","L500_1"
"ENOSF1","L500_1"
"EPB41L2","L500_1"
"EPHA3","L500_1"
"EPHB2","L500_1"
"EPN2","L500_1"
"EPRS","L500_1"
"ERBB2","L500_1"
"ERBB3","L500_1"
"ERO1A","L500_1"
"ETFB","L500_1"
"ETS1","L500_1"
"ETV1","L500_1"
"EVL","L500_1"
"EXOSC4","L500_1"
"EXT1","L500_1"
"EZH2","L500_1"
"FAH","L500_1"
"FAIM","L500_1"
"FAM20B","L500_1"
"FAS","L500_1"
"FASTKD5","L500_1"
"FAT1","L500_1"
"FBXL12","L500_1"
"FBXO11","L500_1"
"FBXO21","L500_1"
"FBXO7","L500_1"
"FCHO1","L500_1"
"FDFT1","L500_1"
"FEZ2","L500_1"
"FGFR2","L500_1"
"FGFR4","L500_1"
"FHL2","L500_1"
"FIS1","L500_1"
"FKBP14","L500_1"
"FKBP4","L500_1"
"FOS","L500_1"
"FOSL1","L500_1"
"FOXJ3","L500_1"
"FOXO3","L500_1"
"FOXO4","L500_1"
"FPGS","L500_1"
"FRS2","L500_1"
"FSD1","L500_1"
"FUT1","L500_1"
"FYN","L500_1"
"FZD1","L500_1"
"FZD7","L500_1"
"G3BP1","L500_1"
"GAA","L500_1"
"GABPB1","L500_1"
"GADD45A","L500_1"
"GADD45B","L500_1"
"GALE","L500_1"
"GAPDH","L500_1"
"GATA2","L500_1"
"GATA3","L500_1"
"GDPD5","L500_1"
"GET1","L500_1"
"GFOD1","L500_1"
"GFPT1","L500_1"
"GHR","L500_1"
"GLI2","L500_1"
"GLOD4","L500_1"
"GLRX","L500_1"
"GMNN","L500_1"
"GNA11","L500_1"
"GNA15","L500_1"
"GNAI1","L500_1"
"GNAI2","L500_1"
"GNAS","L500_1"
"GNB5","L500_1"
"GNPDA1","L500_1"
"GOLT1B","L500_1"
"GPATCH8","L500_1"
"GPC1","L500_1"
"GPER1","L500_1"
"GRB10","L500_1"
"GRB7","L500_1"
"GRN","L500_1"
"GRWD1","L500_1"
"GSTM2","L500_1"
"GSTZ1","L500_1"
"GTF2A2","L500_1"
"GTF2E2","L500_1"
"GTPBP8","L500_1"
