"gene","panel"
"Adgrl4","bone_marrow_marker"
"Alas1","bone_marrow_marker"
"Ap3s1","bone_marrow_marker"
"Apoe","bone_marrow_marker"
"Arl5c","bone_marrow_marker"
"Atf3","bone_marrow_marker"
"Atp1b2","bone_marrow_marker"
"BC035044","bone_marrow_marker"
"Bfsp2","bone_marrow_marker"
"Btg2","bone_marrow_marker"
"Calr","bone_marrow_marker"
"Car1","bone_marrow_marker"
"Ccl4","bone_marrow_marker"
"Ccl5","bone_marrow_marker"
"Ccr2","bone_marrow_marker"
"Ccr9","bone_marrow_marker"
"Cd19","bone_marrow_marker"
"Cd34","bone_marrow_marker"
"Cd3d","bone_marrow_marker"
"Cd3e","bone_marrow_marker"
"Cd3g","bone_marrow_marker"
"Cd4","bone_marrow_marker"
"Cd63","bone_marrow_marker"
"Cd74","bone_marrow_marker"
"Cd79a","bone_marrow_marker"
"Cd79b","bone_marrow_marker"
"Cd8a","bone_marrow_marker"
"Cd8b1","bone_marrow_marker"
"Cdh5","bone_marrow_marker"
"Cebpa","bone_marrow_marker"
"Cebpe","bone_marrow_marker"
"Chchd10","bone_marrow_marker"
"Cldn13","bone_marrow_marker"
"Clec10a","bone_marrow_marker"
"Clec4a2","bone_marrow_marker"
"Clec4a3","bone_marrow_marker"
"Clec4b1","bone_marrow_marker"
"Clec4b2","bone_marrow_marker"
"Clec4d","bone_marrow_marker"
"Clec9a","bone_marrow_marker"
"Cnp","bone_marrow_marker"
"Cox6a2","bone_marrow_marker"
"Cpa3","bone_marrow_marker"
"Cpox","bone_marrow_marker"
"Csf1r","bone_marrow_marker"
"Csf3r","bone_marrow_marker"
"Cst7","bone_marrow_marker"
"Ctla2a","bone_marrow_marker"
"Ctse","bone_marrow_marker"
"Ctsg","bone_marrow_marker"
"Ctss","bone_marrow_marker"
"Dntt","bone_marrow_marker"
"Egfl7","bone_marrow_marker"
"Egr1","bone_marrow_marker"
"Elane","bone_marrow_marker"
"Emb","bone_marrow_marker"
"Epdr1","bone_marrow_marker"
"F13a1","bone_marrow_marker"
"F2r","bone_marrow_marker"
"Fcer1a","bone_marrow_marker"
"Fcmr","bone_marrow_marker"
"Fcnb","bone_marrow_marker"
"Fcrla","bone_marrow_marker"
"Flt1","bone_marrow_marker"
"Flt3","bone_marrow_marker"
"Gata1","bone_marrow_marker"
"Gata2","bone_marrow_marker"
"Gimap4","bone_marrow_marker"
"Glipr1","bone_marrow_marker"
"Glrx5","bone_marrow_marker"
"Gp1ba","bone_marrow_marker"
"Gp1bb","bone_marrow_marker"
"Gp9","bone_marrow_marker"
"Gpr171","bone_marrow_marker"
"Gstm1","bone_marrow_marker"
"Gypa","bone_marrow_marker"
"Gzma","bone_marrow_marker"
"Gzmb","bone_marrow_marker"
"Gzmc","bone_marrow_marker"
"Gzmk","bone_marrow_marker"
"Gzmm","bone_marrow_marker"
"H2-Eb1","bone_marrow_marker"
"Hba-a1","bone_marrow_marker"
"Hba-a2","bone_marrow_marker"
"Hebp1","bone_marrow_marker"
"Hmbs","bone_marrow_marker"
"Hmgb1","bone_marrow_marker"
"Hspd1","bone_marrow_marker"
"Ifitm1","bone_marrow_marker"
"Ifitm2","bone_marrow_marker"
"Ifitm3","bone_marrow_marker"
"Ifitm6","bone_marrow_marker"
"Ifitm7","bone_marrow_marker"
"Igll1","bone_marrow_marker"
"Ikzf2","bone_marrow_marker"
"Il2rb","bone_marrow_marker"
"Il5ra","bone_marrow_marker"
"Il7r","bone_marrow_marker"
"Irf4","bone_marrow_marker"
"Irf8","bone_marrow_marker"
"Itga2b","bone_marrow_marker"
"Kit","bone_marrow_marker"
"Klf1","bone_marrow_marker"
"Klrb1","bone_marrow_marker"
"Klrb1a","bone_marrow_marker"
"Klrb1b","bone_marrow_marker"
"Klrb1c","bone_marrow_marker"
"Klrb1f","bone_marrow_marker"
"Klrd1","bone_marrow_marker"
"Klre1","bone_marrow_marker"
"Klrk1","bone_marrow_marker"
"Lcn2","bone_marrow_marker"
"Lgals1","bone_marrow_marker"
"Lgals3","bone_marrow_marker"
"Lmo2","bone_marrow_marker"
"Lmo4","bone_marrow_marker"
"Ly6c2","bone_marrow_marker"
"Ly86","bone_marrow_marker"
"Mecom","bone_marrow_marker"
"Meis1","bone_marrow_marker"
"Mgl2","bone_marrow_marker"
"Mllt3","bone_marrow_marker"
"Mpeg1","bone_marrow_marker"
"Mpl","bone_marrow_marker"
"Mpo","bone_marrow_marker"
"Ms4a1","bone_marrow_marker"
"Ms4a2","bone_marrow_marker"
"Ms4a3","bone_marrow_marker"
"Ms4a4b","bone_marrow_marker"
"Ms4a6c","bone_marrow_marker"
"Mt1","bone_marrow_marker"
"Mt2","bone_marrow_marker"
"Myct1","bone_marrow_marker"
