"gene","panel","marker"
"1110038F14Rik","mouse_mix","all"
"4930453N24Rik","mouse_mix","all"
"Aamp","mouse_mix","all"
"Abhd11","mouse_mix","all"
"Acot7","mouse_mix","all"
"Actr1a","mouse_mix","all"
"Add1","mouse_mix","all"
"Agpat5","mouse_mix","all"
"Anapc4","mouse_mix","all"
"Anapc5","mouse_mix","all"
"Anxa1","mouse_mix","Neutrophils"
"Apoe","mouse_mix","Lung"
"Apopt1","mouse_mix","all"
"Arcn1","mouse_mix","all"
"Arhgdia","mouse_mix","all"
"Arhgef2","mouse_mix","all"
"Armc1","mouse_mix","all"
"Arpc1a","mouse_mix","all"
"Aspscr1","mouse_mix","all"
"Atp5j2","mouse_mix","all"
"Atp5k","mouse_mix","all"
"Atp5mpl","mouse_mix","ESC"
"BC003965","mouse_mix","all"
"BC005537","mouse_mix","all"
"Cab39","mouse_mix","all"
"Canx","mouse_mix","all"
"Cd52","mouse_mix","Neutrophils"
"Cd81","mouse_mix","Lung"
"Cdk5rap3","mouse_mix","all"
"Cebpzos","mouse_mix","all"
"Cers5","mouse_mix","all"
"Chd1","mouse_mix","all"
"Chtop","mouse_mix","all"
"Cisd1","mouse_mix","all"
"Copg1","mouse_mix","all"
"Cops5","mouse_mix","all"
"Cox6c","mouse_mix","all"
"Csnk1a1","mouse_mix","all"
"Cst3","mouse_mix","Lung"
"Ctnnbl1","mouse_mix","all"
"Cul1","mouse_mix","all"
"Dda1","mouse_mix","all"
"Ddx6","mouse_mix","all"
"Dgcr6","mouse_mix","all"
"Dlk1","mouse_mix","3T3"
"Dohh","mouse_mix","all"
"Dpf2","mouse_mix","all"
"Dynll2","mouse_mix","all"
"Edf1","mouse_mix","all"
"Efr3a","mouse_mix","all"
"Eif3f","mouse_mix","all"
"Eif4g2","mouse_mix","all"
"Exosc4","mouse_mix","all"
"Fam192a","mouse_mix","all"
"Fastk","mouse_mix","all"
"Fau","mouse_mix","3T3"
"Fcer1g","mouse_mix","Neutrophils"
"Ftl1","mouse_mix","ESC"
"G3bp2","mouse_mix","all"
"Galk1","mouse_mix","all"
"Gapvd1","mouse_mix","all"
"Gas5","mouse_mix","3T3"
"Gm10260","mouse_mix","3T3"
"Gnb1","mouse_mix","all"
"Gorasp2","mouse_mix","all"
"Gpx3","mouse_mix","Lung"
"Gsn","mouse_mix","Lung"
"Gtf3c6","mouse_mix","all"
"Guk1","mouse_mix","all"
