"VECTOR","TARGET"
"chr11:10004760-10004839_4_+","chr11:10004760-10004839"
"chr11:10004760-10004839_8_+","chr11:10004760-10004839"
"chr11:10004760-10004839_5_+","chr11:10004760-10004839"
"chr11:10004760-10004839_3_+","chr11:10004760-10004839"
"chr11:10004840-10005070_11_-","chr11:10004840-10005070"
"chr11:10004840-10005070_26_-","chr11:10004840-10005070"
"chr11:10004840-10005070_27_-","chr11:10004840-10005070"
"chr11:10004840-10005070_10_-","chr11:10004840-10005070"
"chr11:10330902-10331460_20_+","chr11:10330902-10331460"
"chr11:10330902-10331460_37_+","chr11:10330902-10331460"
"chr11:10330902-10331460_8_+","chr11:10330902-10331460"
"chr11:10330902-10331460_31_+","chr11:10330902-10331460"
"chr11:10344515-10344906_3_-","chr11:10344515-10344906"
"chr11:10344515-10344906_10_-","chr11:10344515-10344906"
"chr11:10344515-10344906_5_-","chr11:10344515-10344906"
"chr11:10344515-10344906_19_+","chr11:10344515-10344906"
"chr11:10372921-10373529_7_+","chr11:10372921-10373529"
"chr11:10372921-10373529_21_-","chr11:10372921-10373529"
"chr11:10372921-10373529_39_-","chr11:10372921-10373529"
"chr11:10372921-10373529_35_+","chr11:10372921-10373529"
"chr11:10387996-10388559_6_-","chr11:10387996-10388559"
"chr11:10387996-10388559_10_-","chr11:10387996-10388559"
"chr11:10387996-10388559_41_-","chr11:10387996-10388559"
"chr11:10387996-10388559_45_-","chr11:10387996-10388559"
"chr11:10404062-10404495_39_-","chr11:10404062-10404495"
"chr11:10404062-10404495_10_-","chr11:10404062-10404495"
"chr11:10404062-10404495_20_-","chr11:10404062-10404495"
"chr11:10404062-10404495_15_-","chr11:10404062-10404495"
"chr11:10427710-10428184_8_+","chr11:10427710-10428184"
"chr11:10427710-10428184_7_-","chr11:10427710-10428184"
"chr11:10427710-10428184_19_+","chr11:10427710-10428184"
"chr11:10427710-10428184_22_+","chr11:10427710-10428184"
"chr11:10428487-10428915_8_-","chr11:10428487-10428915"
"chr11:10428487-10428915_13_+","chr11:10428487-10428915"
"chr11:10428487-10428915_10_+","chr11:10428487-10428915"
"chr11:10428487-10428915_14_-","chr11:10428487-10428915"
"chr11:10432324-10432763_26_+","chr11:10432324-10432763"
"chr11:10432324-10432763_19_+","chr11:10432324-10432763"
"chr11:10432324-10432763_34_+","chr11:10432324-10432763"
"chr11:10432324-10432763_7_+","chr11:10432324-10432763"
"chr11:10434934-10435244_5_-","chr11:10434934-10435244"
"chr11:10434934-10435244_4_-","chr11:10434934-10435244"
"chr11:10434934-10435244_18_+","chr11:10434934-10435244"
"chr11:10434934-10435244_17_+","chr11:10434934-10435244"
"chr11:10436237-10436535_4_-","chr11:10436237-10436535"
"chr11:10436237-10436535_2_-","chr11:10436237-10436535"
