"gene","panel","screen"
"GATA1","chrX_gata1","enh_ctrl"
"HBB","chr11_hs2","enh_ctrl"
"HBD","chr11_hs2","enh_ctrl"
"HBE1","chr11_hs2","enh_ctrl"
"HBG1","chr11_hs2","enh_ctrl"
"HBG2","chr11_hs2","enh_ctrl"
"MYC","chr8_myc","enh_ctrl"
"ZFPM2","chr8_zfpm2","enh_ctrl"
"ANGPT1","chr8_zfpm2","inhibition"
"ANKRD46","chr8_zfpm2","inhibition"
"ASAP1","chr8_myc","inhibition"
"ATAD2","chr8_myc","inhibition"
"ATP6V1C1","chr8_zfpm2","inhibition"
"AZIN1","chr8_zfpm2","inhibition"
"C8orf59","chr8_zfpm2","inhibition"
"C8orf76","chr8_myc","inhibition"
"COX6C","chr8_zfpm2","inhibition"
"CPNE3","chr8_zfpm2","inhibition"
"DCAF13","chr8_zfpm2","inhibition"
"DECR1","chr8_zfpm2","inhibition"
"DERL1","chr8_myc","inhibition"
"E2F5","chr8_zfpm2","inhibition"
"EBAG9","chr8_zfpm2","inhibition"
"EFR3A","chr8_myc","inhibition"
"EIF3E","chr8_zfpm2","inhibition"
"EIF3H","chr8_zfpm2","inhibition"
"EMC2","chr8_zfpm2","inhibition"
"ENY2","chr8_zfpm2","inhibition"
"FAM49B","chr8_myc","inhibition"
"FAM91A1","chr8_myc","inhibition"
"INTS8","chr8_zfpm2","inhibition"
"LAPTM4B","chr8_zfpm2","inhibition"
"MED30","chr8_zfpm2","inhibition"
"MRPL13","chr8_myc","inhibition"
"MTBP","chr8_myc","inhibition"
"MTDH","chr8_zfpm2","inhibition"
"NBN","chr8_zfpm2","inhibition"
"NDUFAF6","chr8_zfpm2","inhibition"
"NDUFB9","chr8_myc","inhibition"
"NSMCE2","chr8_myc","inhibition"
"NUDCD1","chr8_zfpm2","inhibition"
"OTUD6B","chr8_zfpm2","inhibition"
"PABPC1","chr8_zfpm2","inhibition"
"PLEKHF2","chr8_zfpm2","inhibition"
"POLR2K","chr8_zfpm2","inhibition"
"POP1","chr8_zfpm2","inhibition"
"PTDSS1","chr8_zfpm2","inhibition"
"RAD21","chr8_zfpm2","inhibition"
"RAD54B","chr8_zfpm2","inhibition"
"RMDN1","chr8_zfpm2","inhibition"
"RNF139","chr8_myc","inhibition"
"RNF19A","chr8_zfpm2","inhibition"
"RPL30","chr8_zfpm2","inhibition"
"SLC25A32","chr8_zfpm2","inhibition"
"SQLE","chr8_myc","inhibition"
"TAF2","chr8_zfpm2","inhibition"
"TATDN1","chr8_myc","inhibition"
"TRMT12","chr8_myc","inhibition"
"UQCRB","chr8_zfpm2","inhibition"
"UTP23","chr8_zfpm2","inhibition"
"WDYHV1","chr8_myc","inhibition"
"YWHAZ","chr8_zfpm2","inhibition"
"ZHX1","chr8_myc","inhibition"
"ZNF706","chr8_zfpm2","inhibition"
"CCNE2","chr8_zfpm2","prom_ctrl"
"CPQ","chr8_zfpm2","prom_ctrl"
"DSCC1","chr8_zfpm2","prom_ctrl"
"FAM83A","chr8_myc","prom_ctrl"
"LRRCC1","chr8_zfpm2","prom_ctrl"
"OXR1","chr8_zfpm2","prom_ctrl"
"PHF20L1","chr8_myc","prom_ctrl"
"RIPK2","chr8_zfpm2","prom_ctrl"
"STK3","chr8_zfpm2","prom_ctrl"
"UBR5","chr8_zfpm2","prom_ctrl"
